,gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
2206,1,1,-9,14,1,-6,1,-6,-6,2,1,1,-2,-2,-6,1,1,2,4,2,2,1,2,2,1,2,1,1,2,-1,2
2207,2,2,63,8,1,-6,1,-6,-6,99,1,1,-2,-2,-6,1,3,2,3,3,3,3,2,2,1,2,1,2,1,-1,4
2208,1,1,-9,11,1,-6,1,-6,-6,5,3,5,-2,-2,-6,1,3,1,5,2,1,2,2,1,2,1,1,3,2,-1,2
2209,1,6,57,13,2,1,2,1,1,5,3,5,1,2,2,1,2,1,5,1,1,2,2,1,1,1,2,-1,3,-1,-5
2210,1,1,48,10,1,1,1,1,2,5,1,2,1,2,1,1,1,1,3,1,1,2,3,1,2,1,1,2,1,-1,3
2211,1,2,20,9,2,-6,2,-6,-6,4,1,2,-2,-2,-6,2,3,2,5,2,2,1,1,2,1,2,2,-1,2,-1,3
2212,2,1,37,12,1,1,1,1,3,5,5,5,1,2,2,1,1,1,4,3,1,2,2,1,1,1,1,3,2,-1,1
2213,1,3,58,14,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,2,1,1,2,-1,3,-1,3
2214,1,1,22,13,2,4,1,1,2,2,3,3,1,1,2,1,1,2,2,3,2,3,3,2,1,1,2,-1,3,-1,4
2215,1,1,24,13,2,4,1,1,1,6,3,4,-2,-2,2,1,2,1,4,1,1,2,2,1,3,2,2,-1,1,-1,5
2216,2,1,51,10,2,1,1,1,3,3,3,4,-2,-2,1,1,1,2,5,1,1,3,2,1,1,1,1,2,1,-1,3
2217,1,3,21,10,2,-6,1,-6,-6,99,3,4,-2,-2,-6,1,2,1,5,1,2,3,3,1,3,1,1,2,2,-1,3
2218,1,1,59,13,2,-7,1,-7,-7,6,2,7,-2,-2,-7,2,2,1,3,1,1,2,3,2,1,2,2,-1,3,-1,2
2219,2,1,60,12,1,1,1,1,1,6,2,6,1,2,-9,1,3,1,4,3,3,3,3,2,1,-9,1,2,2,-1,2
2220,-9,1,-9,14,1,2,1,1,2,3,1,1,1,1,2,1,1,1,1,3,2,1,4,2,1,1,2,-1,2,-1,1
2221,2,1,27,14,1,1,1,1,1,5,2,6,1,3,2,1,1,1,4,3,2,2,3,2,1,2,1,1,2,-1,1
2222,2,6,54,16,2,7,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,3,2,1,1,2,-1,3,-1,1
2223,2,1,40,16,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,1,2,2,-1,1
2224,1,3,68,13,1,2,1,2,2,99,3,4,1,2,2,1,3,1,4,1,1,2,2,1,2,1,2,-1,2,-1,3
2225,2,2,35,9,1,4,1,1,2,6,1,2,1,1,1,1,3,1,4,1,1,2,3,1,3,2,1,3,-9,-1,4
2226,2,1,42,10,1,1,1,1,3,99,3,4,0,-2,2,1,1,2,4,2,2,3,2,1,1,1,1,1,2,-1,2
2227,1,1,65,14,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,1,4,2,1,2,1,3,3,1,2
2228,1,1,66,10,2,3,1,1,3,2,1,1,1,1,2,1,3,2,2,2,2,1,4,2,1,2,2,-1,3,-1,2
2229,2,1,50,9,1,2,1,1,2,99,1,1,1,1,2,2,3,2,2,3,3,3,5,2,3,1,1,2,1,1,1
2230,2,3,-9,14,1,1,1,1,1,4,1,1,1,1,2,1,3,2,2,2,2,1,4,2,1,2,1,1,2,-1,2
2231,2,5,90,8,2,1,1,2,3,99,1,1,1,1,2,1,2,2,3,3,1,3,4,2,1,1,1,1,2,-1,2
2232,1,1,32,13,2,2,1,1,3,3,3,3,0,-2,2,1,1,1,3,1,3,2,3,2,1,2,2,-1,3,-1,3
2233,1,1,33,14,1,2,1,1,2,5,3,5,0,-2,2,1,3,1,2,3,1,2,3,1,1,1,1,1,2,-1,2
2234,2,1,25,13,2,4,1,1,1,99,1,2,1,1,2,1,1,2,3,2,2,2,4,2,1,1,2,-1,3,-1,2
2235,2,1,48,14,1,4,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,4,2,1,2,2,-1,3,-1,2
2236,2,1,31,13,1,4,1,2,2,99,3,4,1,2,2,1,2,2,4,3,3,3,3,1,2,1,2,-1,3,-1,2
2237,1,1,41,9,1,1,1,1,3,6,2,7,1,2,1,1,1,1,4,3,1,3,2,2,1,1,1,3,1,-1,2
2238,1,3,84,10,2,1,1,2,4,6,3,4,0,-2,2,1,1,1,4,3,3,3,4,1,3,1,2,-1,3,-1,5
2239,2,5,43,13,2,-6,1,-6,-6,4,3,5,1,1,-6,1,3,2,2,2,2,3,3,2,1,1,1,2,3,-1,3
2240,2,1,32,12,1,1,1,1,3,4,3,4,1,2,1,1,3,1,4,2,1,3,3,1,2,1,1,3,1,2,3
2241,1,1,25,12,2,4,1,1,1,2,3,3,1,2,2,1,1,2,4,2,2,2,2,2,1,2,2,-1,3,-1,4
2242,1,3,-9,13,1,-6,1,-6,-6,6,3,5,-2,-2,-6,1,2,1,4,1,3,2,3,1,2,1,1,3,1,1,1
2243,1,1,57,14,1,4,1,1,2,2,1,1,1,1,2,1,3,2,3,2,3,3,3,2,2,1,1,3,2,1,3
2244,1,1,19,9,1,1,2,1,2,99,1,2,1,2,1,2,3,1,3,1,1,2,2,1,2,2,1,3,1,-1,3
2245,2,2,32,14,1,2,1,1,2,99,1,2,0,-2,2,1,3,2,1,3,2,1,3,1,1,2,1,3,2,-1,1
2246,1,1,56,10,1,1,1,1,2,6,3,5,1,2,1,2,3,1,4,2,1,2,3,1,2,1,1,3,2,2,2
2247,1,1,50,12,1,2,1,1,2,3,2,6,1,1,2,1,1,2,1,2,2,2,3,2,1,1,1,2,2,-1,2
2248,2,1,-9,11,2,2,1,1,4,5,3,4,0,-2,2,1,1,1,5,3,2,3,2,2,1,1,2,-1,2,-1,4
2249,2,2,53,10,1,2,1,2,2,99,1,1,1,1,2,1,3,2,2,3,2,3,3,2,1,2,1,3,2,2,3
2250,2,1,48,9,2,1,1,1,2,99,3,5,1,2,2,1,3,1,4,3,1,3,3,2,1,1,1,1,1,-1,4
2251,1,1,25,9,2,6,1,1,2,4,1,2,1,1,2,2,3,2,3,2,2,3,4,2,1,2,2,-1,3,-1,3
2252,1,1,77,9,1,1,1,1,1,7,5,5,1,2,1,2,2,2,4,3,1,2,3,1,2,2,1,3,2,-1,3
2253,2,5,19,9,2,4,1,1,2,2,1,1,1,1,2,1,1,2,2,2,2,2,4,2,1,1,2,-1,2,-1,2
2254,2,1,82,14,1,1,1,1,2,7,2,7,1,2,1,1,2,1,4,1,1,3,2,1,3,1,1,3,1,2,1
2255,2,1,42,11,2,4,1,1,1,1,3,4,1,2,2,1,1,2,2,1,3,2,2,2,1,1,2,-1,3,-1,1
2256,1,1,22,13,1,2,1,1,2,5,3,5,-2,-2,2,1,3,2,2,2,2,2,2,2,1,2,2,-1,2,-1,2
2257,2,1,39,13,2,1,1,1,2,5,3,5,1,3,1,2,3,1,4,2,2,2,3,2,1,1,1,1,2,-1,2
2258,2,2,35,10,1,7,1,1,2,99,1,1,0,-2,2,1,3,1,3,3,1,3,2,1,2,2,1,3,1,-1,2
2259,1,-2,58,12,1,1,1,1,2,6,2,7,1,2,2,2,2,1,4,1,1,2,2,1,3,2,1,3,1,2,2
2260,1,1,32,12,2,1,1,1,2,3,1,2,1,1,2,1,3,2,2,2,2,3,3,2,1,2,2,-1,3,-1,2
2261,1,1,34,10,2,-7,1,-7,-7,3,3,3,-2,-2,-7,1,1,2,2,2,3,2,4,2,1,1,2,-1,3,-1,3
2262,2,1,36,13,1,1,1,1,2,5,2,6,1,2,1,1,2,2,5,2,3,3,3,-9,1,1,1,2,2,-1,2
2263,2,2,29,9,1,3,1,2,4,99,3,4,0,-2,2,2,2,2,3,2,3,3,3,1,3,1,2,-1,2,-1,3
2264,1,1,68,16,1,1,1,1,1,6,2,7,1,2,2,1,3,1,4,1,1,2,4,1,2,1,1,3,1,1,1
2265,2,1,67,14,2,2,1,1,1,2,1,1,1,1,2,1,3,1,2,2,2,2,2,2,2,1,2,-1,3,-1,4
2266,2,1,79,13,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,2,3,4,2,1,1,1,3,2,-1,1
2267,1,1,59,13,1,1,1,1,1,6,3,5,1,2,1,2,2,1,5,1,1,2,2,1,2,1,1,3,2,-1,3
2268,1,1,61,14,1,2,1,1,3,5,3,4,1,2,2,1,3,1,3,1,1,2,2,2,1,1,2,-1,3,-1,3
2269,1,1,48,16,1,2,1,1,1,3,3,4,1,1,2,1,3,1,2,2,2,2,4,1,1,1,2,-1,2,-1,4
2270,1,1,54,13,1,1,1,1,1,3,3,4,1,1,2,1,1,1,3,2,3,2,4,2,1,1,2,-1,3,-1,3
2271,2,1,80,10,2,1,1,2,1,99,3,5,1,2,1,2,2,1,5,1,1,2,2,1,3,2,1,3,1,-1,4
2272,2,1,30,13,1,6,1,2,2,1,1,2,1,1,2,1,1,1,3,2,2,1,2,2,1,2,1,3,2,1,2
2273,2,5,90,6,1,1,1,1,3,5,1,1,1,1,2,1,1,2,4,2,2,2,3,1,2,1,1,3,1,1,2
2274,1,5,37,9,1,4,1,2,3,4,1,1,1,1,2,1,2,2,3,3,2,3,3,2,1,1,2,-1,2,-1,3
2275,1,6,49,10,1,1,1,1,2,6,2,7,1,2,1,1,3,1,4,3,1,3,2,1,3,1,1,3,1,-1,2
2276,1,2,29,9,1,1,2,1,1,4,2,7,1,1,2,1,2,1,3,1,1,1,3,2,1,1,1,3,1,-1,3
2277,1,1,41,10,2,-6,1,-6,-6,99,1,2,-2,-2,-6,1,1,2,3,2,3,3,3,2,1,1,2,-1,3,-1,2
